SituationID,Situation,SituationDescription,SituationQuotes
3186,"Salaf (erasing stereotypical narratives)","Artist Nouf Aljowaysir creates a dataset of her historical archive erasing all the figures that object detection recognizes in stereotypical ways. According to the artist the AI or machine vision (in this case in form of object recognition) is failing and frustrating only depicting the Western colonial gaze. As an example she uses images of her Saudi and Iraqi ancestors that are classified military, army and soldiers despite wearing traditional clothes. Figures resulting in stereotypical classifications are erased from the photographs using a segmentation tool usually used to annotate images. The dataset is used to generate new images: "" I then trained StyleGAN2, a generative AI model on this new dataset, outputting images signifying the eradication of her ancestor’s collective memory."" (1)
1) http://www.noufaljowaysir.com/#/thoughtworksai/",NA
548,"Satellite Images (Followed on Google Maps)","A woman with a blurred out face follows the narrator as they explore the world with google maps. When he looks up the street he lives on, she appears outside his house. Then there is a knock on the door.","As I said it, there was a knock at the door. A chill ran down my spine. I had a camera hooked to my computer that showed who was at the front door, which made it easier for me, with my mobility issues. I slowly reached for the control to show myself who was outside, but my hand trembled furiously. As I touched the control, I realized my mistake. The last of Google’s images that I’d seen had only shown the outside of the building. Just the outside. I looked at the screen and saw a woman in a white t-shirt, black pants, and black hooded jacket and carrying a grey bag with a purple and grey striped shoulder strap. Of course, there were those red sneakers. She looked directly at the camera, her face still a complete blur. As I tried to stifle a scream, she raised a hand and knocked loudly on my front door."
2875,"Satellite Reign (Aerial drone vision)","The player's perspective is explained as being from an aerial drone's perspective, doing reconnaissance and giving orders to ground units.",NA
2877,"Satellite Reign (Avoiding security system eyes)","The city's security system consists of officers as well as UAVs and surveillance cameras. A hacker-type agent can hack these, shutting them down for a short period of time, which means that the agents are free from government/company eyes for a short while. They can also be destroyed, but this will often draw too much attention.",NA
2876,"Satellite Reign (Holographic flora)","The City is void of plants and wildlife, but some holographic trees can be found, clearly different in visual presentation from their biological ancestors.",NA
2973,"Satellite Reign (World scan with facial recognition)","The ""world scan"" ability creates an overlay of the drone's vision and gives additional information about humans and machines alike. Part of this is specified to be facial recognition:","I've sent your Support agent the informant's specs. Ms Kendra Ramsey. You should be able to confirm her with the Support agent's facial recognition systems that runs when you trigger the World Scan."
1654,"Saving Face (touching faces to generate new identities)","The user poses in front of a camera. The users face is detected and a image of the face captured. By touching the face the user can start to manipulate and change their face as the areas that the persons touch on their real face correspond to the digitalised face that starts to change as it is overlayed by images from prior users. The new images of composite identites can be saved and are shown on wall projections or printed into passports depending on the version of the installation.",NA
1467,"Scanner Sombre (LiDAR vision)","The LiDAR scanner and companion augmented reality helmet are the only resources available to help you see in the darkness. They're not perfect, and have a very grainy aesthetic. If you go into the water, the equipment glitches.",NA
472,"Security Cameras (Surveillance cameras)","A rapper sings about how he is using security cameras to protect himself.",NA
1452,"Security Check (Louis learns about X-ray machines)","X-ray machine vision is used throughout the short story to scan the belongings of subway passengers in America. The X-ray machines not only scan objects, but also rematerialize them and strip them of any danger. The protagonist learns from a colleague about how the X-ray machines actually work, and fantasizes about avoiding them.","One time, Hoffman told me that the machine they use at security checkpoints isn’t really an x-ray machine. The government confiscates everything you put in; whatever emerges from the machine may look indistinguishable from what went in, but it has in fact been reconstituted. Atom by atom, the new objects are assembled, printed, and returned to the passenger. The process takes but an instant because our technology is so advanced. The new objects conform perfectly to the new American national security standards, with all elements deemed dangerous removed. If the objects contained any gasoline, it would be turned into water; if there were a gun, the bullets would be turned into rubber; if a computer contained harmful knowledge, it would be deleted and replaced with sanitized information."
